key,English (en)
DEFAULT.NAV_MOBILE.PLACEHOLDER_SEARCH,@:DEFAULT.NAV_MOBILE.BTN_SEARCH
DEFAULT.SEARCH.HEADING_RESULTS_IN,Context search results in
LBL_CONTEXT_MY_TOPICS,my topics
LBL_CONTEXT_MY_GROUPS,my groups
LBL_CONTEXT_MY_USERS,my users
LBL_CONTEXT_PUBLIC_TOPICS,public topics
LBL_CONTEXT_PUBLIC_GROUPS,public groups
LBL_CONTEXT_PUBLIC_USERS,public users
DEFAULT.SEARCH.LNK_VIEW_MORE_RESULTS,View more results
DEFAULT.SEARCH.TXT_OOPS_NO_RESULTS,"Oops, we couldn’t find any results matching your search :("
DEFAULT.SEARCH.TXT_MAYBE_TYPO,"Maybe you have a typo in your search?<br>We did find some things scattered throughout the CitizenOS platform, so feel free to check them out."
DIRECTIVES.COS_MODAL.BTN_SAVE,Save
DIRECTIVES.COS_MODAL.BTN_CANCEL,@:LNK_CANCEL
DIRECTIVES.COS_MODAL_DATEPICKER.LBL_DEADLINE,@:VIEWS.TOPICS_TOPICID.VOTE_LBL_DEADLINE
DIRECTIVES.COS_MODAL_DATEPICKER.BTN_SAVE,@:DIRECTIVES.COS_MODAL.BTN_SAVE
DIRECTIVES.COS_MODAL_DATEPICKER.BTN_CANCEL,@:LNK_CANCEL
VIEWS.401.HEADING_INSUFFICIENT_PERMISSIONS,"Sorry, you haven't got sufficient permissions to access the resource :("
VIEWS.401.HEADING_YOU_MAY_RECOVER,"Still, you may recover from the unfortunate event by"
VIEWS.401.BTN_LOGIN,Logging in
VIEWS.401.BTN_REQUEST_ACCESS,Requesting access to the resource
VIEWS.HOME.HEADINGS_SHOW_ME_TOPICS_ABOUT,Show me topics about
VIEWS.HOME.LNK_SHOW,Show
VIEWS.HOME.LNK_CLEAR_FILTERS,Clear filters
VIEWS.HOME.LBL_FILTER_THE_TOPICS,Filter the topics
VIEWS.HOME.LNK_EDIT_FILTER,Edit filter
VIEWS.HOME.LBL_CATEGORY,Category:
VIEWS.HOME.LBL_STATUS,Status:
VIEWS.HOME.BTN_CATEGORY,CATEGORY
VIEWS.HOME.BTN_STATUS,STATUS
VIEWS.HOME.BTN_SUBMIT_FILTER,Submit filter
VIEWS.HOME.HEADING_NO_RESUTS,"We’re sorry, but we couldn’t find any results :("
VIEWS.HOME.HEADING_GET_STARTED,Maybe you can get the first discussion initiated by
VIEWS.HOME.BTN_CREATING_A_NEW_TOPIC,Creating a new topic
VIEWS.HOME.HEADING_BEGINNERS_GUIDE,A beginner’s guide to CitizenOS.
VIEWS.HOME.TXT_BEGINNERS_GUIDE,"Hi there, welcome to CitizenOS! Read this topic to find out how everything works."
VIEWS.HOME.LBL_TUTORIAL_AND_EXPLANATION,Tutorial and explanation
VIEWS.HOME.BTN_LOAD_MORE_TOPICS,Load more topics
VIEWS.MY.LBL_GROUPS_COUNT,{{count}} groups
VIEWS.MY.HEADING_NOT_IN_GROUP,You are not yet part of a group.
VIEWS.MY.HEADING_AT_LEAST_WE_HELP,At least you still have us to help you by
VIEWS.MY.TXT_CREATING_A NEW_GROUP,Creating a new group
VIEWS.MY.HEADING_NOT_PARTICIPATED,"You have not participated in a topic yet. Try it, it’s really cool!"
VIEWS.MY.HEADING_GET_INVOLVED,You can get involved by
VIEWS.MY.MY_CREATING_A_NEW_TOPIC,Creating a new topic
VIEWS.MY_GROUPS_GROUPID.HEADING_GENERAL_INFORMATION,General information
VIEWS.MY_GROUPS_GROUPID.LBL_TOPICS,@:DEFAULT.NAV.HEADING_TOPICS
VIEWS.MY_GROUPS_GROUPID.LNK_VIEW,view
VIEWS.MY_GROUPS_GROUPID.LNK_ADD,add
VIEWS.MY_GROUPS_GROUPID.LBL_USERS,Users
VIEWS.MY_GROUPS_GROUPID.LNK_INVITE,invite
VIEWS.MY_GROUPS_GROUPID.LBL_YOUR_RIGHTS,Your rights
VIEWS.MY_GROUPS_GROUPID.LBL_LATEST,Latest
VIEWS.MY_GROUPS_GROUPID.LBL_GROUP_ACTIONS,Group actions
VIEWS.MY_GROUPS_GROUPID.LNK_SETTINGS,settings
VIEWS.MY_GROUPS_GROUPID.LNK_LEAVE,leave
VIEWS.MY_GROUPS_GROUPID.LNK_DELETE,delete
VIEWS.MY_GROUPS_GROUPID.HEADING_TOPIC_LIST,Topic list ({{count}})
VIEWS.MY_GROUPS_GROUPID.LNK_FILTER,filter
VIEWS.MY_GROUPS_GROUPID.PLACEHOLDER_TOPIC_TITLE_PERMISSION,"Topic title, permission"
VIEWS.MY_GROUPS_GROUPID.PLACEHOLDER_NAME_PERMISSION,"Name, permission"
VIEWS.MY_GROUPS_GROUPID.LNK_CLEAR_FILTER,clear filter
VIEWS.MY_GROUPS_GROUPID.LBL_ORDER_BY,Order by:
VIEWS.MY_GROUPS_GROUPID.LNK_TITLE,Title
VIEWS.MY_GROUPS_GROUPID.LNK_RIGHTS,Rights
VIEWS.MY_GROUPS_GROUPID.LNK_USERS,Users
VIEWS.MY_GROUPS_GROUPID.LBL_REMOVE_FROM_GROUP,Remove from group
VIEWS.MY_GROUPS_GROUPID.LBL_USERS_COUNT,Users: {{count}}
VIEWS.MY_GROUPS_GROUPID.HEADING_USERS_LIST,User list ({{count}})
VIEWS.MY_GROUPS_GROUPID.LNK_PROFILE,Profile
VIEWS.MY_TOPICS_TOPICID.HEADING_GENERAL_INFORMATION,General information
VIEWS.MY_TOPICS_TOPICID.LBL_AUTHOR,Author
VIEWS.MY_TOPICS_TOPICID.LBL_DATE_CREATED,Date created
VIEWS.MY_TOPICS_TOPICID.LBL_YOUR_RIGHTS,Your rights
VIEWS.MY_TOPICS_TOPICID.LBL_USERS,Users
VIEWS.MY_TOPICS_TOPICID.LNK_VIEW,view
VIEWS.MY_TOPICS_TOPICID.LBL_GROUPS,@:MODALS.TOPIC_SETTINGS_TH_GROUPS
VIEWS.MY_TOPICS_TOPICID.LBL_STATUS,Status
VIEWS.MY_TOPICS_TOPICID.LBL_TOPIC_ACTIONS,Topic actions
VIEWS.MY_TOPICS_TOPICID.LNK_SETTINGS,settings
VIEWS.MY_TOPICS_TOPICID.LNK_EDIT,edit
VIEWS.MY_TOPICS_TOPICID.LNK_LEAVE,@:VIEWS.MY_GROUPS_GROUPID.LNK_LEAVE
VIEWS.MY_TOPICS_TOPICID.LNK_DELETE,@:VIEWS.MY_GROUPS_GROUPID.LNK_DELETE
VIEWS.MY_TOPICS_TOPICID.HEADING_CURRENT_VOTE_RESULTS,Current vote results
VIEWS.MY_TOPICS_TOPICID.LBL_RESULTS,Results
VIEWS.MY_TOPICS_TOPICID.LBL_VOTES_COUNTED,Votes counted
VIEWS.MY_TOPICS_TOPICID.LBL_VOTE_DEADLINE,Vote deadline
VIEWS.MY_TOPICS_TOPICID.VOTE_CAST_YOUR_VOTE,@:VIEWS.TOPICS_TOPICID.VOTE_CAST_YOUR_VOTE
VIEWS.MY_TOPICS_TOPICID.VOTE_HEADING_DELEGATE,@:VIEWS.TOPICS_TOPICID.VOTE_HEADING_DELEGATE
VIEWS.MY_TOPICS_TOPICID.VOTE_DELEGATED_TO,@:VIEWS.TOPICS_TOPICID.VOTE_DELEGATED_TO
VIEWS.MY_TOPICS_TOPICID.VOTE_REVOKE_DELEGATION,@:VIEWS.TOPICS_TOPICID.VOTE_REVOKE_DELEGATION
VIEWS.MY_TOPICS_TOPICID.HEADING_GROUP_LIST,Group list
VIEWS.MY_TOPICS_TOPICID.LNK_FILTER,@:VIEWS.MY_GROUPS_GROUPID.LNK_FILTER
VIEWS.MY_TOPICS_TOPICID.PLACEHOLDER_TOPIC_TITLE_PERMISSION,"Group name, permission"
VIEWS.MY_TOPICS_TOPICID.PLACEHOLDER_NAME_PERMISSION,@:VIEWS.MY_GROUPS_GROUPID.PLACEHOLDER_NAME_PERMISSION
VIEWS.MY_TOPICS_TOPICID.LNK_ADD,@:VIEWS.MY_GROUPS_GROUPID.LNK_ADD
VIEWS.MY_TOPICS_TOPICID.LNK_CLEAR_FILTER,@:VIEWS.MY_GROUPS_GROUPID.LNK_CLEAR_FILTER
VIEWS.MY_TOPICS_TOPICID.LBL_ORDER_BY,@:VIEWS.MY_GROUPS_GROUPID.LBL_ORDER_BY
VIEWS.MY_TOPICS_TOPICID.LNK_NAME,Name
VIEWS.MY_TOPICS_TOPICID.LNK_RIGHTS,@:VIEWS.MY_GROUPS_GROUPID.LNK_RIGHTS
VIEWS.MY_TOPICS_TOPICID.LNK_USERS,@:VIEWS.MY_TOPICS_TOPICID.LBL_USERS
VIEWS.MY_TOPICS_TOPICID.LBL_REMOVE_FROM_TOPIC,Remove from topic
VIEWS.MY_TOPICS_TOPICID.LBL_INACCESSIBLE_GROUP,&lt;Inaccessible Group&gt; ({{level}})
VIEWS.MY_TOPICS_TOPICID.LBL_USERS_COUNT,@:VIEWS.MY_GROUPS_GROUPID.LBL_USERS_COUNT
VIEWS.MY_TOPICS_TOPICID.HEADING_USERS_LIST,User list
VIEWS.MY_TOPICS_TOPICID.LNK_INVITE,@:VIEWS.MY_GROUPS_GROUPID.LNK_INVITE
VIEWS.MY_TOPICS_TOPICID.LNK_PROFILE,Profile
VIEWS.MY_TOPICS_TOPICID.LBL_VIA,via
VIEWS.PARTNERS_CONSENT.HEADING,Rahvaalgatus.ee would like to access following data from Your account:
VIEWS.PARTNERS_CONSENT.TXT_VIEW_PROFILE,"View and edit Your CitizenOS profile - name, company, email, picture."
VIEWS.PARTNERS_CONSENT.TXT_VIEW_TOPICS,View and edit Your CitizenOS public Topics and Topics created via the Rahvaalgatus.ee website.
VIEWS.PARTNERS_CONSENT.TXT_VIEW_VOTES,View and edit Your CitizenOS Votes in public Topics and Topics created via the Rahvaalgatus.ee website.
VIEWS.PARTNERS_CONSENT.TXT_VIEW_GROUPS,View and edit Your CitizenOS Groups.
VIEWS.PARTNERS_CONSENT.TXT_POLICY,"Rahvaalgatus.ee will use this information in accordance with their respective <a href=""https://rahvaalgatus.ee/about"" target=""_blank"">terms of service and privacy policies</a>."
VIEWS.PARTNERS_CONSENT._AGREE,Accept
VIEWS.PARTNERS_CONSENT.DISAGREE,Cancel
VIEWS.PARTNERS_LOGIN.HEADING,"<strong>Rahvaalgatus.ee works together with CitizenOS</strong> to offer you a great experience. If you want to use the platform to its fullest, <strong>please login to CitizenOS or register.</strong>"
VIEWS.PARTNERS_LOGIN.BTN_LOGIN_FACEBOOK,@:MODALS.LOGIN_BTN_LOGIN_FACEBOOK
VIEWS.PARTNERS_LOGIN.BTN_LOGIN_GOOGLE,@:MODALS.LOGIN_BTN_LOGIN_GOOGLE
VIEWS.PARTNERS_LOGIN.ID,@:MODALS.LOGIN_BTN_LOGIN_ESTEID
VIEWS.PARTNERS_LOGIN.PLACEHOLDER_EMAIL,@:MODALS.LOGIN_PLACEHOLDER_EMAIL
VIEWS.PARTNERS_LOGIN.PLACEHOLDER_PASSWORD,@:MODALS.LOGIN_PLACEHOLDER_PASSWORD
VIEWS.PARTNERS_LOGIN.LOGIN_REGISTER,Log in/register to CitizenOS
VIEWS.PARTNERS_LOGIN.FORGOT_PASSWORD,Forgot password?
VIEWS.TOPICS_TOPICID.BAR_MILESTONES,{{count}} MILESTONES
VIEWS.TOPICS_TOPICID.BAR_TOOLTIP_PHASE,Status:
VIEWS.TOPICS_TOPICID.BAR_TOOLTIP_IN_PROGRESS,in progress
VIEWS.TOPICS_TOPICID.BAR_TOOLTIP_VOTING,in voting
VIEWS.TOPICS_TOPICID.BAR_SIGNING_DEADLINE,Signing deadline:
VIEWS.TOPICS_TOPICID.BAR_CURRENT_PHASE,Current status:
VIEWS.TOPICS_TOPICID.TAB_VIEW,View
VIEWS.TOPICS_TOPICID.TAB_VOTE,Vote
VIEWS.TOPICS_TOPICID.TAB_FOLLOW_UP,Follow Up
VIEWS.TOPICS_TOPICID.TAB_INFO_TXT_EDIT,You are now in edit mode. You can add text or make changes to it. All changes are automatically saved.
VIEWS.TOPICS_TOPICID.TAB_INFO_TXT_VOTE,"This topic is being voted on, editing is no longer possible!"
VIEWS.TOPICS_TOPICID.TOPIC_SUMMARY_HEADER,Topic summary
VIEWS.TOPICS_TOPICID.TOPIC_SUMMARY_TITLE,@:VIEWS.MY_GROUPS_GROUPID.LNK_TITLE
VIEWS.TOPICS_TOPICID.TOPIC_SUMMARY_FINALIZED_ON,Document finalised on
VIEWS.TOPICS_TOPICID.TOPIC_SUMMARY_VIEW_FINAL_DOCUMENT,view final document
VIEWS.TOPICS_TOPICID.TOPIC_SUMMARY_VIEW_VOTING_ENDED_ON,Voting ended on
VIEWS.TOPICS_TOPICID.TOPIC_SUMMARY_VIEW_VOTE_RESULTS,view vote results
VIEWS.TOPICS_TOPICID.ADD_MILESTONES_CREATE_A_MILESTONE,Create a milestone
VIEWS.TOPICS_TOPICID.ADD_MILESTONES_PLACEHOLDER_SUBJECT,How is the decision being put into practice?
VIEWS.TOPICS_TOPICID.ADD_MILESTONES_PLACEHOLDER_TEXT,"Please provide details, links etc."
VIEWS.TOPICS_TOPICID.ADD_MILESTONES_ADD_MILESTONE,POST AN UPDATE
VIEWS.TOPICS_TOPICID.ADD_MILESTONES_MILESTONE,{{number}} milestone
VIEWS.TOPICS_TOPICID.ADD_MILESTONE_DELETE,@:VIEWS.MY_GROUPS_GROUPID.LNK_DELETE
MODALS.TOPIC_EVENT_CONFIRM_HEADING,Remove event
MODALS.TOPIC_EVENT_DELETE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to remove this event?
MODALS.TOPIC_EVENT_DELETE_CONFIRM_BTN_NO,@:BTN_NO
MODALS.TOPIC_EVENT_DELETE_CONFIRM_BTN_YES,@:MODALS.GROUP_MEMBER_TOPIC_DELETE_CONFIRM_BTN_YES
VIEWS.TOPICS_TOPICID.VOTE_CAST_YOUR_VOTE,Cast your vote
VIEWS.TOPICS_TOPICID.VOTE_VOTES_COUNTED,votes counted
VIEWS.TOPICS_TOPICID.VOTE_HEADING_REQUIRE_HARD_ID,This vote requires an ID card or Mobile ID signing.
VIEWS.TOPICS_TOPICID.VOTE_TXT_REQUIRE_HARD_ID,This document needs to be signed with ID card or Mobile ID to be registered. You can not vote if you don’t identify yourself.
VIEWS.TOPICS_TOPICID.HEADING_VOTE_REGISTERED,Your vote has been registered!
VIEWS.TOPICS_TOPICID.BTN_DOWNLOAD_USER_BDOC,Download your signed vote (BDOC file)
VIEWS.TOPICS_TOPICID.VOTE_TXT_VOTE_REGISTERED,Thank you for your vote. You can still change your mind and your vote by choosing another option.
VIEWS.TOPICS_TOPICID.VOTE_HEADING_DELEGATE,Delegate your vote
VIEWS.TOPICS_TOPICID.VOTE_DELEGATED_TO,You delegated your vote to:
VIEWS.TOPICS_TOPICID.VOTE_REVOKE_DELEGATION,Revoke your delegation
VIEWS.TOPICS_TOPICID.VOTE_HEADING_VOTE_CLOSED,Voting is closed!
VIEWS.TOPICS_TOPICID.VOTE_TXT_VOTE_CLOSED,Everyone has cast their votes. You can download the full document here.
VIEWS.TOPICS_TOPICID.BTN_DOWNLOAD_FINAL_BDOC,Download signed file (BDOC)
VIEWS.TOPICS_TOPICID.BTN_DOWNLOAD_FINAL_ZIP,Download signed file (ZIP)
VIEWS.TOPICS_TOPICID.VOTE_HEADING_CREATE,Create a voting platform
VIEWS.TOPICS_TOPICID.VOTE_HEADING_STEP1,Step 1: Choose voting-type
VIEWS.TOPICS_TOPICID.VOTE_BTN_TYPE_REGULAR,REGULAR
VIEWS.TOPICS_TOPICID.VOTE_BTN_TYPE_REGULAR_EXPLANATION,(ie. yes/no/neutral/...)
VIEWS.TOPICS_TOPICID.VOTE_BTN_TYPE_MULTIPLECHOICE,CUSTOM VOTE
VIEWS.TOPICS_TOPICID.VOTE_BTN_TYPE_MULTIPLECHOICE_EXPLANATION,(ie. A/B/C/D/...)
VIEWS.TOPICS_TOPICID.VOTE_HEADING_STEP2,Step 2: Define answers
VIEWS.TOPICS_TOPICID.VOTE_LBL_OPTION_YES,Yes
VIEWS.TOPICS_TOPICID.VOTE_LBL_OPTION_NO,No
VIEWS.TOPICS_TOPICID.VOTE_LBL_OPTION_NEUTRAL,Neutral
VIEWS.TOPICS_TOPICID.VOTE_LBL_OPTION_VETO,Veto
VIEWS.TOPICS_TOPICID.PLACEHOLDER_ENTER_A_POSSIBLE_ANSWER,Enter a possible answer
VIEWS.TOPICS_TOPICID.VOTE_BTB_ADD_OPTION,Add another answer
VIEWS.TOPICS_TOPICID.VOTE_LBL_NEUTRAL,Neutral
VIEWS.TOPICS_TOPICID.VOTE_LBL_VETO,Veto
VIEWS.TOPICS_TOPICID.VOTE_HEADING_STEP3,Step 3: Set up voting rights
VIEWS.TOPICS_TOPICID.VOTE_LBL_AUTH_SOFT_ID,Soft-ID
VIEWS.TOPICS_TOPICID.VOTE_LBL_AUTH_SOFT_ID_EXPLANATION,CITIZENOS LOGIN IS REQUIRED
VIEWS.TOPICS_TOPICID.VOTE_LBL_AUTH_HARD_ID,Hard-ID
VIEWS.TOPICS_TOPICID.VOTE_LBL_AUTH_HARD_ID_EXPLANATION,ID CARD OR MOBILE SIGNING IS REQUIRED
VIEWS.TOPICS_TOPICID.VOTE_LBL_DELEGATION,Delegation
VIEWS.TOPICS_TOPICID.VOTE_LBL_DELEGATION_EXPLANATION,ALLOW USERS TO PASS ON THEIR VOTING RIGHT.
VIEWS.TOPICS_TOPICID.VOTE_LBL_NOTICE_DELEGATION_DISABLED_FOR_HARD_ID,"When Hard-ID is the chosen method of voting, delegation is not allowed."
VIEWS.TOPICS_TOPICID.VOTE_HEADING_STEP4,Step 4: End of voting system
VIEWS.TOPICS_TOPICID.VOTE_LBL_DEADLINE,Deadline
VIEWS.TOPICS_TOPICID.VOTE_TXT_DEADLINE_CALENDAR_DAYS_LEFT,{{numberOfDaysLeft}} days left
VIEWS.TOPICS_TOPICID.VOTE_BTN_CREATE_VOTE,START VOTING
VIEWS.TOPICS_TOPICID.LBL_CATEGORIES,Categories:
VIEWS.TOPICS_TOPICID.LBL_NO_CATEGORIES,none
VIEWS.TOPICS_TOPICID.LNK_ADD_CATEGORIES,add categories
VIEWS.TOPICS_TOPICID.LBL_AUTHORS,Authors: {{topic.creator.name}}
VIEWS.TOPICS_TOPICID.LBL_ACTIVITY,Discussion:
VIEWS.TOPICS_TOPICID.LNK_ARGUMENTS_COUNT,{{count}} arguments
VIEWS.TOPICS_TOPICID.LNK_MENTIONS_COUNT,{{mentionsCount}} social mentions
VIEWS.TOPICS_TOPICID.LNK_MENTIONS_COUNT_ADD_HASHTAG,add hashtag
VIEWS.TOPICS_TOPICID.LBL_TAB_ARGUMENTS,Arguments
VIEWS.TOPICS_TOPICID.LBL_TAB_MENTIONS,Social mentions
VIEWS.TOPICS_TOPICID.TAB_ARGUMENTS_HEADING,@:VIEWS.TOPICS_TOPICID.LNK_ARGUMENTS_COUNT
VIEWS.TOPICS_TOPICID.LBL_ARGUMENTS_COUNT_PRO,pro: {{countPro}}
VIEWS.TOPICS_TOPICID.LBL_ARGUMENTS_COUNT_CON,con: {{countCon}}
VIEWS.TOPICS_TOPICID.BTN_ADD_ARGUMENT,add argument
VIEWS.TOPICS_TOPICID.ARGUMENT_LNK_VIEW_PREVIOUS_VERSIONS,view previous versions
VIEWS.TOPICS_TOPICID.ARGUMENT_LNK_EDIT,@:VIEWS.MY_TOPICS_TOPICID.LNK_EDIT
VIEWS.TOPICS_TOPICID.ARGUMENT_LNK_DELETE,@:VIEWS.MY_GROUPS_GROUPID.LNK_DELETE
VIEWS.TOPICS_TOPICID.PLACEHOLDER_EDIT_ARGUMENT_SUBJECT,Edit your argument subject...
VIEWS.TOPICS_TOPICID.PLACEHOLDER_EDIT_ARGUMENT_TEXT,Edit your reply here...
VIEWS.TOPICS_TOPICID.ARGUMENT_EDIT_BTN_POST_AS_PRO,@:VIEWS.TOPICS_TOPICID.BTN_COMMENT_POST_AS_PRO
VIEWS.TOPICS_TOPICID.ARGUMENT_EDIT_BTN_POST_AS_CON,@:VIEWS.TOPICS_TOPICID.BTN_COMMENT_POST_AS_CON
VIEWS.TOPICS_TOPICID.ARGUMENT_EDIT_BTN_CANCEL_EDIT,@:LNK_CANCEL
VIEWS.TOPICS_TOPICID.ARGUMENT_HAS_BEEN_DELETED_BY,This argument has been deleted by {{userFullName}}
VIEWS.TOPICS_TOPICID.ARGUMENT_WHY,Why?
VIEWS.TOPICS_TOPICID.ARGUMENT_VIEW_COMMENT_ANYWAY,View argument anyway
VIEWS.TOPICS_TOPICID.ARGUMENT_FOUND_INAPPRIOPRIATE_BY,This argument was found inappriopriate by <b>{{userFullName}}</b>
VIEWS.TOPICS_TOPICID.ARGUMENT_READ_CODE_OF_CONDUCT,"Read our <a class=""underlined_link"" href="""">code of conduct</a> for more information"
VIEWS.TOPICS_TOPICID.ARGUMENT_LAST_EDITED,Last edited {{edittime}}
VIEWS.TOPICS_TOPICID.PLACEHOLDER_EDIT_REPLY,Edit your reply here...
VIEWS.TOPICS_TOPICID.ARGUMENT_BTN_SAVE_EDIT_REPLY,@:DIRECTIVES.COS_MODAL.BTN_SAVE
VIEWS.TOPICS_TOPICID.ARGUMENT_BTN_CANCEL_EDIT_REPLY,@:LNK_CANCEL
VIEWS.TOPICS_TOPICID.ARGUMENT_VIEW_REPLY_ANYWAY,View reply anyway
VIEWS.TOPICS_TOPICID.ARGUMENT_REPLY_FOUND_INAPPRIOPRIATE_BY,This reply was found inappriopriate by <b>{{userFullName}}</b>
VIEWS.TOPICS_TOPICID.LNK_COMMENT_CLOSE,Close comment
VIEWS.TOPICS_TOPICID.LNK_COMMENT_READ_MORE,Read more
VIEWS.TOPICS_TOPICID.LNK_COMMENT_REPLY,Reply
VIEWS.TOPICS_TOPICID.PLACEHOLDER_WRITE_REPLY_HERE,Write your reply here...
VIEWS.TOPICS_TOPICID.PLACEHOLDER_ADD_SUBJECT_TO_ARGUMENT,Make your main statement here ...
VIEWS.TOPICS_TOPICID.PLACEHOLDER_EXPLAIN_YOUR_ARGUMENT,Explain and prove your statement here...
VIEWS.TOPICS_TOPICID.BTN_COMMENT_POST_REPLY,Post reply
VIEWS.TOPICS_TOPICID.LNK_COMMENT_REPLY_CLOSE,@:VIEWS.TOPICS_TOPICID.LNK_COMMENT_CLOSE
VIEWS.TOPICS_TOPICID.LNK_COMMENT_REPLY_READ_MORE,@:VIEWS.TOPICS_TOPICID.LNK_COMMENT_READ_MORE
VIEWS.TOPICS_TOPICID.LNK_COMMENT_REPLY_REPLY,Reply
VIEWS.TOPICS_TOPICID.BTN_COMMENT_REPLY_POST_REPLY,@:VIEWS.TOPICS_TOPICID.BTN_COMMENT_POST_REPLY
VIEWS.TOPICS_TOPICID.BTN_COMMENT_POST_AS_PRO,Post as pro argument
VIEWS.TOPICS_TOPICID.BTN_COMMENT_POST_AS_CON,Post as con argument
VIEWS.TOPICS_TOPICID.TXT_COMMENT_ORDER_BY_DATE,date
VIEWS.TOPICS_TOPICID.TXT_COMMENT_ORDER_BY_POPULARITY,popularity
VIEWS.TOPICS_TOPICID.TXT_COMMENT_ORDER_BY_RATING,rating
VIEWS.TOPICS_TOPICID.LOG_IN_TO_COMMENT,"You need to <a class=""underlined_link"" ng-click=""app.doShowLogin()"">log in</a> to participate."
VIEWS.TOPICS_TOPICID.TAB_SOCIAL_MENTIONS_HEADING,@:VIEWS.TOPICS_TOPICID.LBL_TAB_MENTIONS
VIEWS.TOPICS_TOPICID.TAB_SOCIAL_METIONS_TXT_NO_HASHTAG_DEFINED,"Sorry, we cannot show you the social mentions as there is no hashtag defined for this Topic. Users with editor permissions can add the hashtag to fetch social mentions."
VIEWS.TOPICS_TOPICID.TAB_SOCIAL_MENTIONS_BTN_ADD_HASHTAG,@:VIEWS.TOPICS_TOPICID.LNK_MENTIONS_COUNT_ADD_HASHTAG
VIEWS.TOPICS_TOPICID.TAB_SOCIAL_MENTIONS_NO_MENTIONS_FOUND,"Sorry, no social mentions found on Twitter for the hashtag"
VIEWS.TOPICS_TOPICID.TAB_SOCIAL_MENTIONS_BTN_CHANGE_HASHTAG,Change hashtag
VIEWS.TOPICS_TOPICID.TAB_SOCIAL_MENTIONS_POSTED_VIA,Posted via
VIEWS.TOPICS_TOPICID.NAV_HEADING,OPTIONS
VIEWS.TOPICS_TOPICID.NAV_LNK_SEND_TO_VOTE,Send to vote
VIEWS.TOPICS_TOPICID.NAV_LNK_SEND_TO_FOLLOW_UP,Send to follow-up
VIEWS.TOPICS_TOPICID.NAV_LNK_CLOSE_TOPIC,Close topic
VIEWS.TOPICS_TOPICID.NAV_LNK_SETTINGS,Settings
VIEWS.TOPICS_TOPICID.NAV_LNK_CATEGORIES,Categories
VIEWS.TOPICS_TOPICID.NAV_LNK_INVITE_USERS,Invite users
VIEWS.TOPICS_TOPICID.NAV_LNK_SHARE,Share topic
VIEWS.TOPICS_TOPICID.NAV_LNK_EDIT_TOPIC,Edit topic
VIEWS.TOPICS_TOPICID.NAV_LNK_LEAVE_TOPIC,Leave topic
VIEWS.TOPICS_TOPICID.HEADER_FILES,ATTACHMENTS
VIEWS.TOPICS_TOPICID.LNK_ADD_MANAGE_FILES,Add/manage attachments
MSG_ERROR_POST_API_AUTH_SIGNUP_40000_EMAIL,Invalid email.
MSG_ERROR_POST_API_AUTH_SIGNUP_40001_EMAIL,The email address is already in use.
MSG_ERROR_POST_API_AUTH_SIGNUP_40000_NAME,Name can be 1 to 255 characters long.
MSG_ERROR_POST_API_AUTH_LOGIN_40002_EMAIL,Account with this email does not exist.
MSG_ERROR_POST_API_AUTH_SIGNUP_40000_PASSWORD,"Password must be at least 6 character long, containing at least 1 digit, 1 lower and upper case character."
MSG_ERROR_POST_API_AUTH_LOGIN_40003_PASSWORD,Wrong password.
MSG_ERROR_POST_API_AUTH_LOGIN_40002,The account verification has not been completed. Please check your e-mail.
MSG_ERROR_POST_API_AUTH_PASSWORD_RESET_40000,"Invalid email, password or password reset code."
MSG_INFO_CHECK_EMAIL_TO_VERIFY_YOUR_ACCOUNT,Check your email to verify your account.
MSG_ERROR_POST_API_AUTH_PASSWORD_RESET_SEND_40002_EMAIL,Account with this email does not exist.
MSG_INFO_PASSWORD_RECOVERY_EMAIL_SENT,Success! Please check your email to complete your password recovery.
MSG_INFO_PASSWORD_RESET_SUCCESS,Success! Your password has been reset. Log in with your fresh password.
MSG_ERROR_PUT_API_USERS_SELF_40000_PASSWORD,@:MSG_ERROR_POST_API_AUTH_SIGNUP_40000_PASSWORD
MSG_ERROR_PUT_API_USERS_SELF_40000_EMAIL,@:MSG_ERROR_POST_API_AUTH_SIGNUP_40001_EMAIL
MSG_ERROR_POST_API_USERS_GROUPS_40000_NAME,Group name must be 2 to 255 characters long.
MSG_ERROR_POST_API_AUTH_SMARTID_INIT_40001,Smart-ID athentication requires users pid
MSG_ERROR_POST_API_AUTH_SMARTID_INIT_40400,Not Found
MSG_ERROR_GET_API_AUTH_SMARTID_STATUS_40010 ,@:MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40010
MSG_ERROR_GET_API_AUTH_SMARTID_STATUS_40011,The transaction has expired
MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40010,You have cancelled the log in flow.
MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40013,"The mobile-ID functionality of your phone is not yet ready. Please try again later. If the problem persists, contact your service provider."
MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40014,Your phone is either switched off or out of coverage.
MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40015,Your phone is either incapable of receiving the message or there is a problem with messaging service.
MSG_ERROR_GET_API_AUTH_MOBILE_STATUS_40016,"Phone SIM application error. Try again. If the problem persists, contact your service provider."
